Index	Name	Type	Deck	Image
1	academic	Occupation	E	occe3academic
2	animalkeeper	Occupation	E	occe4animalkeeper
3	baker	Occupation	E	occe1baker
4	basketmaker	Occupation	E	occe4basketmaker
5	berrypicker	Occupation	E	occe3berrypicker
6	braggart	Occupation	E	occe3braggart
7	breadseller	Occupation	E	occe3breadseller
8	brushmaker	Occupation	E	occe3brushmaker
9	carpenter	Occupation	E	occe1carpenter
10	cattlewhisperer	Occupation	E	occe4cattlewhisperer
11	charcoalburner	Occupation	E	occe3charcoalburner
12	chief	Occupation	E	occe1chief
13	chiefsdaughter	Occupation	E	occe1chiefsdaughter
14	claydeliveryman	Occupation	E	occe1claydeliveryman
15	clayfirer	Occupation	E	occe4clayfirer
16	claymixer	Occupation	E	occe1claymixer
17	clayseller	Occupation	E	occe4clayseller
18	conjurer	Occupation	E	occe4conjurer
19	conservator	Occupation	E	occe1conservator
20	cook	Occupation	E	occe4cook
21	dancer	Occupation	E	occe4dancer
22	dockworker	Occupation	E	occe1dockworker
23	estatemanager	Occupation	E	occe3estatemanager
24	farmer	Occupation	E	occe4farmer
25	fieldwarden	Occupation	E	occe4fieldwarden
26	fisherman	Occupation	E	occe3fisherman
27	greengrocer	Occupation	E	occe3greengrocer
28	grocer	Occupation	E	occe1grocer
29	guildmaster	Occupation	E	occe3guildmaster
30	headofthefamily	Occupation	E	occe4headofthefamily
31	hedgekeeper	Occupation	E	occe1hedgekeeper
32	hobbyfarmer	Occupation	E	occe4hobbyfarmer
33	hutbuilder	Occupation	E	occe4hutbuilder
34	landagent	Occupation	E	occe3landagent
35	lordofthemanor	Occupation	E	occe1lordofthemanor
36	maid	Occupation	E	occe1maid
37	mason	Occupation	E	occe1mason
38	masterbaker	Occupation	E	occe4masterbaker
39	masterbrewer	Occupation	E	occe1masterbrewer
40	masterbuilder	Occupation	E	occe1masterbuilder
41	masterforester	Occupation	E	occe4masterforester
42	mastershepherd	Occupation	E	occe4mastershepherd
43	meatseller	Occupation	E	occe1meatseller
44	mendicant	Occupation	E	occe1mendicant
45	merchant	Occupation	E	occe1merchant
46	mushroomcollector	Occupation	E	occe1mushroomcollector
47	pastor	Occupation	E	occe4pastor
48	patron	Occupation	E	occe4patron
49	plowdriver	Occupation	E	occe1plowdriver
50	plowmaker	Occupation	E	occe1plowmaker
51	potter	Occupation	E	occe3potter
52	quarryman	Occupation	E	occe3quarryman
53	ratcatcher	Occupation	E	occe3ratcatcher
54	reedcollector	Occupation	E	occe3reedcollector
55	reeve	Occupation	E	occe3reeve
56	renovator	Occupation	E	occe1renovator
57	seasonalworker	Occupation	E	occe1seasonalworker
58	shepherd	Occupation	E	occe4shepherd
59	stablehand	Occupation	E	occe1stablehand
60	stablemaster	Occupation	E	occe1stablemaster
61	stockman	Occupation	E	occe4stockman
62	stonecarrier	Occupation	E	occe1stonecarrier
63	stonecutter	Occupation	E	occe3stonecutter
64	storyteller	Occupation	E	occe4storyteller
65	swineherd	Occupation	E	occe4swineherd
66	tenantfarmer	Occupation	E	occe4tenantfarmer
67	thatcher	Occupation	E	occe3thatcher
68	turner	Occupation	E	occe3turner
69	tutor	Occupation	E	occe1tutor
70	undergardener	Occupation	E	occe4undergardener
71	woodcutter	Occupation	E	occe1woodcutter
72	woodenhutbuilder	Occupation	E	occe3woodenhutbuilder
73	yeomanfarmer	Occupation	E	occe3yeomanfarmer
74	animalpen	MinorImprovement	E	eminoranimalpen
75	animalyard	MinorImprovement	E	eminoranimalyard
76	axe	MinorImprovement	E	eminoraxe
77	bakersoven	MinorImprovement	E	eminorbakersoven
78	bakingtray	MinorImprovement	E	eminorbakingtray
79	basket	MinorImprovement	E	eminorbasket
80	beanfield	MinorImprovement	E	eminorbeanfield
81	builderstrowel	MinorImprovement	E	eminorbuilderstrowel
82	buildingmaterial	MinorImprovement	E	eminorbuildingmaterial
83	butterchurn	MinorImprovement	E	eminorbutterchurn
84	canoe	MinorImprovement	E	eminorcanoe
85	carppond	MinorImprovement	E	eminorcarppond
86	cattlemarket	MinorImprovement	E	eminorcattlemarket
87	ceramics	MinorImprovement	E	eminorceramics
88	clayroof	MinorImprovement	E	eminorclayroof
89	claysupports	MinorImprovement	E	eminorclaysupports
90	clogs	MinorImprovement	E	eminorclogs
91	cornscoop	MinorImprovement	E	eminorcornscoop
92	dovecote	MinorImprovement	E	eminordovecote
93	drinkingtrough	MinorImprovement	E	eminordrinkingtrough
94	feedpellets	MinorImprovement	E	eminorfeedpellets
95	field	MinorImprovement	E	eminorfield
96	fishingrod	MinorImprovement	E	eminorfishingrod
97	fruittree	MinorImprovement	E	eminorfruittree
98	gypsysrock	MinorImprovement	E	eminorgypsysrock
99	halftimberedhouse	MinorImprovement	E	eminorhalftimberedhouse
100	helpfulneighbors	MinorImprovement	E	eminorhelpfulneighbors
101	lettucepatch	MinorImprovement	E	eminorlettucepatch
102	madonnastatue	MinorImprovement	E	eminormadonnastatue
103	manger	MinorImprovement	E	eminormanger
104	marketstall	MinorImprovement	E	eminormarketstall
105	millstone	MinorImprovement	E	eminormillstone
106	minipasture	MinorImprovement	E	eminorminipasture
107	outhouse	MinorImprovement	E	eminorouthouse
108	plane	MinorImprovement	E	eminorplane
109	potatodibber	MinorImprovement	E	eminorpotatodibber
110	privateforest	MinorImprovement	E	eminorprivateforest
111	quarry	MinorImprovement	E	eminorquarry
112	raft	MinorImprovement	E	eminorraft
113	reedpond	MinorImprovement	E	eminorreedpond
114	ridingplow	MinorImprovement	E	eminorridingplow
115	sackcart	MinorImprovement	E	eminorsackcart
116	shepherdspipe	MinorImprovement	E	eminorshepherdspipe
117	simplefireplace	MinorImprovement	E	eminorsimplefireplace
118	spices	MinorImprovement	E	eminorspices
119	spindle	MinorImprovement	E	eminorspindle
120	stable	MinorImprovement	E	eminorstable
121	stonehouseextension	MinorImprovement	E	eminorstonehouseextension
122	stonetongs	MinorImprovement	E	eminorstonetongs
123	turnwrestplow	MinorImprovement	E	eminorturnwrestplow
124	windmill	MinorImprovement	E	eminorwindmill
125	woodfiredoven	MinorImprovement	E	eminorwoodfiredoven
126	writingdesk	MinorImprovement	E	eminorwritingdesk
127	animaldealer	Occupation	I	occi3animaldealer
128	bricklayer	Occupation	I	occi1bricklayer
129	businessman	Occupation	I	occi3businessman
130	butcher	Occupation	I	occi1butcher
131	cabinetmaker	Occupation	I	occi3cabinetmaker
132	chamberlain	Occupation	I	occi1chamberlain
133	churchwarden	Occupation	I	occi1churchwarden
134	claydigger	Occupation	I	occi4claydigger
135	clayhutbuilder	Occupation	I	occi1clayhutbuilder
136	clayplasterer	Occupation	I	occi1clayplasterer
137	cornprofiteer	Occupation	I	occi4cornprofiteer
138	cowherd	Occupation	I	occi3cowherd
139	farmsteward	Occupation	I	occi1farmsteward
140	fencebuilder	Occupation	I	occi1fencebuilder
141	fencedeliveryman	Occupation	I	occi1fencedeliveryman
142	fencer	Occupation	I	occi4fencer
143	fieldsman	Occupation	I	occi1fieldsman
144	fieldwatchman	Occupation	I	occi1fieldwatchman
145	fieldworker	Occupation	I	occi3fieldworker
146	gardener	Occupation	I	occi1gardener
